iter	Passed	Remaining
556	8176	6503
557	8206	6500
558	8218	6483
559	8231	6467
560	8244	6451
561	8257	6435
562	8299	6441
563	8312	6425
564	8325	6409
565	8337	6393
566	8350	6377
567	8367	6363
568	8379	6347
569	8391	6330
570	8404	6314
571	8416	6297
572	8427	6279
573	8439	6263
574	8451	6246
575	8462	6229
576	8476	6214
577	8488	6197
578	8499	6180
579	8511	6163
580	8523	6146
581	8535	6130
582	8547	6113
583	8559	6097
584	8570	6080
585	8584	6064
586	8595	6047
587	8608	6031
588	8620	6015
589	8633	5999
590	8643	5981
591	8654	5964
592	8666	5948
593	8696	5944
594	8709	5928
595	8721	5911
596	8733	5895
597	8745	5879
598	8759	5863
599	8772	5848
600	8785	5832
601	8797	5816
602	8811	5801
603	8823	5784
604	8832	5766
605	8842	5748
606	8851	5730
607	8862	5714
608	8873	5697
609	8885	5680
610	8898	5665
611	8908	5648
612	8922	5632
613	8935	5617
614	8949	5602
615	8960	5586
616	8974	5570
617	8987	5555
618	9000	5540
619	9012	5523
620	9025	5508
621	9037	5492
622	9049	5476
623	9062	5460
624	9077	5446
625	9092	5432
626	9103	5415
627	9117	5400
628	9130	5385
629	9142	5369
630	9154	5353
631	9167	5338
632	9181	5323
633	9196	5309
634	9210	5294
635	9224	5279
636	9237	5263
637	9246	5246
638	9258	5230
639	9272	5215
640	9281	5198
641	9294	5182
642	9305	5166
643	9316	5150
644	9328	5134
645	9339	5118
646	9354	5103
647	9366	5088
648	9379	5072
649	9391	5057
650	9404	5041
651	9416	5026
652	9429	5010
653	9443	4996
654	9452	4978
655	9481	4971
656	9498	4958
657	9515	4945
658	9531	4932
659	9540	4914
660	9553	4899
661	9565	4884
662	9578	4868
663	9590	4852
664	9603	4837
665	9615	4822
666	9627	4806
667	9639	4790
668	9650	4774
669	9663	4759
670	9676	4744
671	9691	4730
672	9704	4715
673	9732	4707
674	9745	4692
675	9758	4677
676	9771	4661
677	9784	4646
678	9799	4632
679	9812	4617
680	9824	4602
681	9837	4586
682	9848	4570
683	9860	4555
684	9872	4540
685	9885	4524
686	9898	4509
687	9912	4494
688	9924	4479
689	9937	4464
690	9965	4456
691	9979	4441
692	9994	4427
693	10011	4414
694	10032	4402
695	10044	4387
696	10058	4372
697	10072	4357
698	10083	4342
699	10095	4326
700	10111	4312
701	10125	4298
702	10145	4286
703	10158	4271
704	10172	4256
705	10187	4242
706	10202	4228
707	10215	4213
708	10229	4198
709	10242	4183
710	10255	4168
711	10267	4153
712	10280	4138
713	10293	4123
714	10306	4108
715	10318	4092
716	10331	4077
717	10348	4064
718	10359	4048
719	10371	4033
720	10382	4017
721	10394	4002
722	10406	3986
723	10419	3971
724	10432	3957
725	10445	3942
726	10457	3927
727	10469	3911
728	10482	3896
729	10494	3881
730	10506	3866
731	10519	3851
732	10531	3836
733	10545	3821
734	10557	3806
735	10570	3791
736	10582	3776
737	10594	3761
738	10606	3746
739	10618	3730
740	10631	3716
741	10645	3701
742	10658	3686
743	10672	3672
744	10687	3658
745	10700	3643
746	10713	3628
747	10725	3613
748	10738	3598
749	10751	3583
750	10763	3568
751	10776	3553
752	10788	3538
753	10801	3524
754	10814	3509
755	10827	3494
756	10840	3479
757	10853	3465
758	10865	3450
759	10878	3435
760	10891	3420
761	10904	3405
762	10915	3390
763	10928	3375
764	10940	3360
765	10953	3346
766	10966	3331
767	10978	3316
768	10992	3302
769	11006	3287
770	11018	3272
771	11030	3257
772	11043	3242
773	11055	3228
774	11069	3213
775	11082	3199
776	11094	3184
777	11107	3169
778	11122	3155
779	11135	3140
780	11148	3126
781	11161	3111
782	11174	3097
783	11192	3083
784	11204	3068
785	11216	3053
786	11230	3039
787	11243	3024
788	11255	3009
789	11266	2994
790	11278	2980
791	11292	2965
792	11304	2950
793	11316	2936
794	11329	2921
795	11344	2907
796	11356	2892
797	11369	2877
798	11381	2863
799	11395	2848
800	11409	2834
801	11422	2819
802	11434	2805
803	11447	2790
804	11460	2776
