id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawled_at
2520429390,https://www.vivareal.com.br/imovel/ponto-comercial-bigorrilho-bairros-curitiba-65m2-aluguel-RS5500-id-2520429390/,"Ponto comercial/Loja/Box para Aluguel, 65m²","Rua Padre Anchieta, 2050 - Bigorrilho, Curitiba - PR",65,-- Quarto,1 Banheiro,-- Vaga,Piscina|Academia|Elevador|Ar-condicionado|Jardim,R$ 5.500 /mês,,2021-06-18 10:38
2509523580,https://www.vivareal.com.br/imovel/galpao-deposito-armazem-boqueirao-bairros-curitiba-845m2-aluguel-RS8500-id-2509523580/,"Galpão/Depósito/Armazém para Aluguel, 845m²","Rua Ireno Marchesini, 251 - Boqueirão, Curitiba - PR",845,-- Quarto,2 Banheiros,-- Vaga,Estacionamento|Entrada para caminhões|Refeitório|Vestiário,R$ 8.500 /mês,,2021-06-18 10:38
2521168535,https://www.vivareal.com.br/imovel/ponto-comercial-centro-bairros-curitiba-54m2-aluguel-RS2200-id-2521168535/,"Ponto comercial/Loja/Box para Aluguel, 54m²","Rua Conselheiro Laurindo, 646 - Centro, Curitiba - PR",54,-- Quarto,-- Banheiro,-- Vaga,None,R$ 2.200 /mês,,2021-06-18 10:38
2521131043,https://www.vivareal.com.br/imovel/apartamento-3-quartos-campo-comprido-bairros-curitiba-com-garagem-68m2-aluguel-RS1500-id-2521131043/,"Apartamento com 3 Quartos para Aluguel, 68m²","Rua Nelson Ferreira da Luz, 400 - Campo Comprido, Curitiba - PR",68,3 Quartos,2 Banheiros,1 Vaga,Mobiliado|Condomínio fechado|Aceita animais|Playground|Quadra poliesportiva,R$ 1.500 /mês,R$ 370,2021-06-18 10:38
2488018884,https://www.vivareal.com.br/imovel/9-quartos-hugo-lange-bairros-curitiba-com-garagem-142m2-aluguel-RS2950-id-2488018884/,"Casa com 9 Quartos para Aluguel, 142m²","Rua Presidente Rodrigo Otávio, 1070 - Hugo Lange, Curitiba - PR",142,9 Quartos,3 Banheiros,2 Vagas,Mobiliado|Ar-condicionado|Aceita animais,R$ 2.950 /mês,,2021-06-18 10:38
2187305680,https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-82m2-aluguel-RS6000-id-2187305680/,"Apartamento com 3 Quartos para Aluguel, 82m²","Rua Alferes Ângelo Sampaio - Bigorrilho, Curitiba - PR",82,3 Quartos,2 Banheiros,1 Vaga,Varanda|Espaço gourmet|Playground|Móvel planejado|Churrasqueira na varanda,R$ 6.000 /mês,R$ 360,2021-06-18 10:38
2427785198,https://www.vivareal.com.br/imovel/sala-comercial-capao-raso-bairros-curitiba-32m2-aluguel-RS1100-id-2427785198/,"Sala/Conjunto para Aluguel, 32m²","Avenida Winston Churchill - Capão Raso, Curitiba - PR",32,-- Quarto,1 Banheiro,-- Vaga,Estacionamento para visitantes|Drywall|Gesso - Sanca - Teto Rebaixado|Isolamento acústico|Janela grande,R$ 1.100 /mês,,2021-06-18 10:38
2520263308,https://www.vivareal.com.br/imovel/apartamento-4-quartos-cabral-bairros-curitiba-com-garagem-183m2-aluguel-RS4500-id-2520263308/,"Apartamento com 4 Quartos para Aluguel, 183m²","Rua Chichorro Júnior, 143 - Cabral, Curitiba - PR",183,4 Quartos,4 Banheiros,2 Vagas,Churrasqueira|Academia|Playground|Salão de festas|Quadra poliesportiva,R$ 4.500 /mês,R$ 1.200,2021-06-18 10:38
2519469117,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bigorrilho-bairros-curitiba-com-garagem-25m2-aluguel-RS1550-id-2519469117/,"Apartamento com Quarto para Aluguel, 25m²","Alameda Júlia da Costa, 911 - Bigorrilho, Curitiba - PR",25,1 Quarto,1 Banheiro,1 Vaga,Mobiliado|Churrasqueira|Elevador|Ar-condicionado|Espaço gourmet,R$ 1.550 /mês,R$ 250,2021-06-18 10:38
2518685319,https://www.vivareal.com.br/imovel/ponto-comercial-centro-bairros-curitiba-185m2-aluguel-RS9900-id-2518685319/,"Ponto comercial/Loja/Box para Aluguel, 185m²","Rua Voluntários da Pátria, 57 - Centro, Curitiba - PR",185,-- Quarto,2 Banheiros,-- Vaga,None,R$ 9.900 /mês,,2021-06-18 10:38
2427670946,https://www.vivareal.com.br/imovel/ponto-comercial-parolin-bairros-curitiba-com-garagem-750m2-aluguel-RS7000-id-2427670946/,"Ponto comercial/Loja/Box para Aluguel, 750m²","Rua Alferes Poli - Parolin, Curitiba - PR",750,-- Quarto,7 Banheiros,1 Vaga,Escritório|Sala grande|Acesso para deficientes|Ambientes integrados|Andar inteiro,R$ 7.000 /mês,,2021-06-18 10:38
2517971680,https://www.vivareal.com.br/imovel/apartamento-1-quartos-merces-bairros-curitiba-22m2-aluguel-RS1490-id-2517971680/,"Apartamento com Quarto para Aluguel, 22m²","Rua Desembargador Isaías Bevilaqua, 800 - Mercês, Curitiba - PR",22,1 Quarto,1 Banheiro,-- Vaga,Mobiliado|Churrasqueira|Elevador|Ar-condicionado|Jardim,R$ 1.490 /mês,R$ 350,2021-06-18 10:38
2519619376,https://www.vivareal.com.br/imovel/apartamento-2-quartos-hauer-bairros-curitiba-com-garagem-66m2-aluguel-RS2473-id-2519619376/,"Apartamento com 2 Quartos para Aluguel, 66m²","Avenida Marechal Floriano Peixoto, 6438 - Hauer, Curitiba - PR",66,2 Quartos,2 Banheiros,1 Vaga,Mobiliado|Condomínio fechado|Cozinha americana|Portão eletrônico,R$ 2.473 /mês,R$ 165,2021-06-18 10:38
2427755709,https://www.vivareal.com.br/imovel/galpao-deposito-armazem-guabirotuba-bairros-curitiba-com-garagem-395m2-aluguel-RS3000-id-2427755709/,"Galpão/Depósito/Armazém para Aluguel, 395m²","Rua Miguel Bakum - Guabirotuba, Curitiba - PR",395,-- Quarto,3 Banheiros,10 Vagas,Estacionamento para visitantes|Muro e grade|Copa|Entrada para caminhões,R$ 3.000 /mês,,2021-06-18 10:38
2482345087,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bigorrilho-bairros-curitiba-25m2-aluguel-RS1500-id-2482345087/,"Apartamento com Quarto para Aluguel, 25m²","Alameda Júlia da Costa, 911 - Bigorrilho, Curitiba - PR",25,1 Quarto,1 Banheiro,-- Vaga,Mobiliado|Churrasqueira|Elevador|Condomínio fechado|Ar-condicionado,R$ 1.500 /mês,R$ 250,2021-06-18 10:38
