id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawled_at
1.25,https://www.vivareal.com.br/imovel/apartamento-2-quartos-hauer-bairros-curitiba-com-garagem-66m2-aluguel-RS2473-id-2519619376/,"Apartamento com 2 Quartos para Aluguel, 66m²","Avenida Marechal Floriano Peixoto, 6438 - Hauer, Curitiba - PR",66,2 Quartos,2 Banheiros,1 Vaga,Mobiliado|Condomínio fechado|Cozinha americana|Portão eletrônico,R$ 2.473 /mês,R$ 165,2021-06-17 11:51
1.26,https://www.vivareal.com.br/imovel/apartamento-2-quartos-batel-bairros-curitiba-com-garagem-111m2-aluguel-RS3500-id-2520554220/,"Apartamento com 2 Quartos para Aluguel, 111m²","Rua Buenos Aires, 492 - Batel, Curitiba - PR",111,2 Quartos,2 Banheiros,2 Vagas,Mobiliado|Churrasqueira|Academia|Elevador|Condomínio fechado,R$ 3.500 /mês,R$ 950,2021-06-17 11:51
1.27,https://www.vivareal.com.br/imovel/apartamento-4-quartos-cabral-bairros-curitiba-com-garagem-183m2-aluguel-RS4500-id-2520263308/,"Apartamento com 4 Quartos para Aluguel, 183m²","Rua Chichorro Júnior, 143 - Cabral, Curitiba - PR",183,4 Quartos,4 Banheiros,2 Vagas,Churrasqueira|Academia|Playground|Salão de festas|Quadra poliesportiva,R$ 4.500 /mês,R$ 1.200,2021-06-17 11:51
1.28,https://www.vivareal.com.br/imovel/apartamento-3-quartos-campo-comprido-bairros-curitiba-com-garagem-68m2-aluguel-RS1500-id-2521131043/,"Apartamento com 3 Quartos para Aluguel, 68m²","Rua Nelson Ferreira da Luz, 400 - Campo Comprido, Curitiba - PR",68,3 Quartos,2 Banheiros,1 Vaga,Mobiliado|Condomínio fechado|Aceita animais|Playground|Quadra poliesportiva,R$ 1.500 /mês,R$ 370,2021-06-17 11:51
1.29,https://www.vivareal.com.br/imovel/galpao-deposito-armazem-guabirotuba-bairros-curitiba-com-garagem-395m2-aluguel-RS3000-id-2427755709/,"Galpão/Depósito/Armazém para Aluguel, 395m²","Rua Miguel Bakum - Guabirotuba, Curitiba - PR",395,-- Quarto,3 Banheiros,10 Vagas,Estacionamento para visitantes|Muro e grade|Copa|Entrada para caminhões,R$ 3.000 /mês,,2021-06-17 11:51
1.30,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bigorrilho-bairros-curitiba-25m2-aluguel-RS1500-id-2482345087/,"Apartamento com Quarto para Aluguel, 25m²","Alameda Júlia da Costa, 911 - Bigorrilho, Curitiba - PR",25,1 Quarto,1 Banheiro,-- Vaga,Mobiliado|Churrasqueira|Elevador|Condomínio fechado|Ar-condicionado,R$ 1.500 /mês,R$ 250,2021-06-17 11:51
1.31,https://www.vivareal.com.br/imovel/cobertura-6-quartos-bigorrilho-bairros-curitiba-com-garagem-350m2-aluguel-RS11600-id-2387985482/,"Apartamento com 6 Quartos para Aluguel, 350m²","Rua Padre Anchieta - Bigorrilho, Curitiba - PR",350,6 Quartos,4 Banheiros,2 Vagas,Mobiliado|Churrasqueira|Varanda|Elevador|Playground,R$ 11.600 /mês,R$ 1.192,2021-06-17 11:51
1.32,https://www.vivareal.com.br/imovel/sala-comercial-juveve-bairros-curitiba-com-garagem-45m2-aluguel-RS1680-id-2515946846/,"Sala/Conjunto para Aluguel, 45m²","Rua Alberto Folloni, 244 - Juvevê, Curitiba - PR",45,-- Quarto,1 Banheiro,1 Vaga,,R$ 1.680 /mês,,2021-06-17 11:51
1.33,https://www.vivareal.com.br/imovel/ponto-comercial-cabral-bairros-curitiba-360m2-aluguel-RS27000-id-2521193287/,"Ponto comercial/Loja/Box para Aluguel, 360m²","Avenida Munhoz da Rocha, 921 - Cabral, Curitiba - PR",360,-- Quarto,-- Banheiro,-- Vaga,Ar-condicionado|Estacionamento|Acesso para deficientes,R$ 27.000 /mês,,2021-06-17 11:51
1.34,https://www.vivareal.com.br/imovel/sala-comercial-alto-da-rua-xv-bairros-curitiba-com-garagem-15m2-aluguel-RS1200-id-2519586577/,"Sala/Conjunto para Aluguel, 15m²","Rua Atílio Bório, 1177 - Alto da Rua XV, Curitiba - PR",15,-- Quarto,3 Banheiros,1 Vaga,,R$ 1.200 /mês,,2021-06-17 11:51
