iter	Passed	Remaining
581	12034	8642
582	12055	8622
583	12077	8603
584	12093	8578
585	12109	8555
586	12141	8542
587	12169	8526
588	12210	8520
589	12244	8508
590	12269	8490
591	12287	8468
592	12337	8467
593	12353	8443
594	12369	8419
595	12387	8397
596	12406	8375
597	12423	8351
598	12442	8329
599	12459	8306
600	12475	8282
601	12502	8265
602	12520	8243
603	12536	8219
604	12563	8202
605	12588	8184
606	12608	8163
607	12623	8138
608	12641	8116
609	12654	8090
610	12667	8064
611	12682	8040
612	12703	8019
613	12733	8004
614	12792	8008
615	12840	8004
616	12873	7990
617	12891	7968
618	12913	7948
619	12933	7927
620	12965	7912
621	12980	7888
622	13028	7884
623	13049	7863
624	13075	7845
625	13095	7823
626	13115	7802
627	13141	7784
628	13156	7759
629	13201	7753
630	13220	7731
631	13233	7705
632	13247	7680
633	13261	7655
634	13274	7630
635	13287	7604
636	13300	7579
637	13313	7554
638	13327	7529
639	13341	7504
640	13355	7479
641	13368	7454
642	13382	7430
643	13395	7404
644	13408	7379
645	13422	7355
646	13435	7330
647	13447	7304
648	13463	7281
649	13478	7257
650	13491	7232
651	13503	7207
652	13521	7185
653	13591	7190
654	13615	7171
655	13644	7155
656	13705	7155
657	13724	7133
658	13746	7113
659	13764	7090
660	13801	7078
661	13826	7059
662	13848	7039
663	13872	7019
664	13897	7000
665	13926	6984
666	13974	6976
667	13993	6955
668	14014	6933
669	14039	6914
670	14065	6896
671	14087	6876
672	14113	6857
673	14138	6838
674	14167	6821
675	14194	6803
676	14223	6786
677	14252	6768
678	14306	6763
679	14326	6741
680	14343	6718
681	14359	6695
682	14376	6672
683	14390	6648
684	14405	6624
685	14418	6599
686	14432	6575
687	14446	6551
688	14486	6538
689	14513	6520
690	14540	6502
691	14566	6483
692	14583	6460
693	14604	6439
694	14625	6418
695	14649	6398
696	14673	6378
697	14691	6356
698	14708	6333
699	14724	6310
700	14740	6287
701	14757	6264
702	14773	6241
703	14791	6219
704	14810	6197
705	14827	6174
706	14844	6151
707	14860	6129
708	14884	6109
709	14903	6087
710	14921	6065
711	14938	6042
712	14955	6020
713	14972	5997
714	14990	5975
715	15006	5952
716	15023	5929
717	15038	5906
718	15054	5883
719	15072	5861
720	15089	5838
721	15105	5816
722	15118	5792
723	15132	5768
724	15144	5744
725	15156	5720
726	15169	5696
727	15182	5672
728	15195	5648
729	15207	5624
730	15221	5601
731	15234	5577
732	15246	5553
733	15259	5530
734	15271	5506
735	15284	5482
736	15320	5467
737	15335	5444
738	15348	5420
739	15362	5397
740	15376	5374
741	15390	5351
742	15404	5328
743	15419	5305
744	15433	5282
745	15464	5265
746	15479	5242
747	15495	5220
748	15509	5197
749	15523	5174
750	15537	5151
751	15551	5128
752	15565	5105
753	15590	5086
754	15604	5063
755	15619	5041
756	15634	5018
757	15658	4999
758	15673	4976
759	15689	4954
760	15702	4931
761	15715	4908
762	15729	4885
763	15747	4864
764	15760	4841
765	15773	4818
766	15787	4795
767	15800	4773
768	15851	4761
769	15870	4740
770	15894	4720
771	15907	4698
772	15921	4675
773	15936	4653
774	15964	4634
775	15977	4612
776	15990	4589
777	16004	4566
778	16017	4544
779	16031	4521
780	16045	4499
781	16059	4476
782	16072	4454
783	16081	4430
784	16094	4408
785	16107	4385
786	16120	4363
787	16134	4340
788	16146	4318
789	16161	4296
790	16175	4273
791	16188	4251
